管理类联考::第一章::整数与自然数	<b>【定义】整数与自然数</b>	<div class="latex-box box-purple"><ul><li><b>整数</b>：包括正整数、0 和负整数。</li><li><b>正整数</b>：\(1, 2, 3, \dots\)</li><li><b>自然数</b>：\(0\) 和正整数（即非负整数）。<br><span style="color:#e74c3c">（注：考纲明确规定 0 是自然数）</span></li></ul></div>
管理类联考::第一章::比例	<b>【定义】比例</b>	<div class="latex-box box-purple">表示两个比相等的式子：\(a:b = c:d\) 或 \(\frac{a}{b} = \frac{c}{d}\)。<br><b>比例中项</b>：若 \(a:b = b:c\)，则 \(b^2 = ac\)。</div>
管理类联考::第一章::正比	<b>【定义】正比</b>	<div class="latex-box box-purple">若 \(y = kx\) (\(k \neq 0\))，则 \(y\) 与 \(x\) 成正比。<br>特征：\(\frac{y}{x} = k\) (定值)。</div>
管理类联考::第一章::反比	<b>【定义】反比</b>	<div class="latex-box box-purple">若 \(y = \frac{k}{x}\) (\(k \neq 0\))，则 \(y\) 与 \(x\) 成反比。<br>特征：\(xy = k\) (定值)。</div>
管理类联考::第一章::比例基本性质	<b>【性质】比例的基本性质</b>	<div class="latex-box box-green">对于 \(a:b = c:d\)：<br>1. 内项积 = 外项积：\(ad = bc\)。<br>2. 更比：\(a:c = b:d\)。<br>3. 反比：\(b:a = d:c\)。</div>
管理类联考::第一章::同比定理	<b>【定理】合比定理</b>	<div class="latex-box box-green">\(\frac{a}{b} = \frac{c}{d} \iff \frac{a+b}{b} = \frac{c+d}{d}\)</div>
管理类联考::第一章::分比定理	<b>【定理】分比定理</b>	<div class="latex-box box-green">\(\frac{a}{b} = \frac{c}{d} \iff \frac{a-b}{b} = \frac{c-d}{d}\)</div>
管理类联考::第一章::合分比定理	<b>【定理】合分比定理</b>	<div class="latex-box box-green">\(\frac{a}{b} = \frac{c}{d} \iff \frac{a+b}{a-b} = \frac{c+d}{c-d}\)</div>
管理类联考::第一章::等比定理	<b>【定理】等比定理</b>	<div class="latex-box box-green">若 \(\frac{a}{b} = \frac{c}{d} = \dots = \frac{m}{n} = k\) (且 \(b+d+\dots+n \neq 0\))，则：<br>\[\frac{a+c+\dots+m}{b+d+\dots+n} = k = \frac{a}{b}\]</div>
管理类联考::第一章::绝对值定义	<b>【定义】绝对值（代数）</b>	<div class="latex-box box-purple">\[|a| = \begin{cases} a, & a > 0 \\ 0, & a = 0 \\ -a, & a < 0 \end{cases}\]<br>口诀：正数原本，负数反号，零是零。</div>
管理类联考::第一章::绝对值几何意义	<b>【几何意义】绝对值</b>	<div class="latex-box box-purple">\(|a|\)：数轴上点 \(a\) 到原点的距离。<br>\(|x-a|\)：数轴上点 \(x\) 到点 \(a\) 的距离。</div>
管理类联考::第一章::绝对值基本不等式	<b>【不等式】绝对值基本解法</b>	<div class="latex-box box-green">设 \(a > 0\)：<br><ul><li>\(|x| < a \iff -a < x < a\) （中间）</li><li>\(|x| > a \iff x > a \text{ 或 } x < -a\) （两边）</li></ul></div>
管理类联考::第一章::绝对值对称性	<b>【性质】绝对值对称性</b>	<div class="latex-box box-purple">\(|-a| = |a|\)<br>（互为相反数的两个数绝对值相等）。</div>
管理类联考::第一章::绝对值等价性	<b>【性质】绝对值等价变形</b>	<div class="latex-box box-green"><ul><li>\(\sqrt{a^2} = |a|\)</li><li>\(|a|^2 = a^2\)</li><li>\(|ab| = |a||b|\)</li><li>\(|\frac{a}{b}| = \frac{|a|}{|b|}\)</li></ul></div>
管理类联考::第一章::绝对值自比性	<b>【性质】绝对值自比性</b>	<div class="latex-box box-purple">\(-|a| \le a \le |a|\)<br>符号函数：\(\text{sgn}(x) = \frac{x}{|x|} = \begin{cases} 1, & x>0 \\ -1, & x<0 \end{cases}\)。</div>
管理类联考::第一章::绝对值非负性	<b>【性质】绝对值非负性</b>	<div class="latex-box box-green">\(|a| \ge 0\)。<br>考点：若 \(|a| + |b| = 0\)，则必有 \(a=0\) 且 \(b=0\)（非负数之和为0）。</div>
管理类联考::第二章::变化率公式	<b>【公式】变化率</b>	<div class="latex-box box-green">\[\text{变化率} = \frac{|\text{现值}-\text{原值}|}{\text{原值}} \times 100\%\]</div>
管理类联考::第二章::增长率与下降率	<b>【公式】增长率与下降率</b>	<div class="latex-box box-green">原值 \(a\)，变化率 \(p\)：<br><ul><li>增长后：\(a(1+p\%)\)</li><li>下降后：\(a(1-p\%)\)</li><li><b>先增 \(p\) 后降 \(p\)</b>：\(a(1-p^2\%)\) < \(a\) （一定变小）。</li></ul></div>
管理类联考::第二章::恢复原值	<b>【公式】恢复原值</b>	<div class="latex-box box-green"><ul><li>原值先<b>降</b> \(p\%\)，需再<b>增</b> \(\frac{p\%}{1-p\%}\) 恢复。</li><li>原值先<b>增</b> \(p\%\)，需再<b>降</b> \(\frac{p\%}{1+p\%}\) 恢复。</li></ul></div>
管理类联考::第二章::甲比乙大p%	<b>【关系】甲比乙大 p%</b>	<div class="latex-box box-green">\(\frac{\text{甲}-\text{乙}}{\text{乙}} = p\% \iff \text{甲} = \text{乙}(1+p\%)\)<br>注意：甲比乙大 \(p\%\) \(\ne\) 乙比甲小 \(p\%\)。<br>实际上：乙比甲小 \(\frac{p\%}{1+p\%}\)。</div>
管理类联考::第二章::总量与部分量	<b>【关系】总量与部分量</b>	<div class="latex-box box-green">\(\text{总量} = \frac{\text{部分量}}{\text{该部分所占比例}}\)</div>
管理类联考::第二章::利润基本公式	<b>【公式】利润问题</b>	<div class="latex-box box-green"><ul><li>\(\text{利润} = \text{售价} - \text{进价}\)</li><li>\(\text{利润率} = \frac{\text{利润}}{\text{进价}} \times 100\%\)</li><li>\(\text{售价} = \text{进价} \times (1 + \text{利润率})\)</li></ul></div>
管理类联考::第二章::路程基本关系	<b>【公式】路程、速度、时间</b>	<div class="latex-box box-green">\(s = vt\)<br>\(\text{平均速度} = \frac{\text{总路程}}{\text{总时间}}\)</div>
管理类联考::第二章::相遇问题	<b>【公式】直线相遇</b>	<div class="latex-box box-green">相向而行，同时出发：<br>\[s_{\text{相遇}} = s_{\text{甲}} + s_{\text{乙}} = (v_{\text{甲}} + v_{\text{乙}})t\]</div>
管理类联考::第二章::追及问题	<b>【公式】直线追及</b>	<div class="latex-box box-green">同向而行，同时出发（甲快）：<br>\[s_{\text{追及}} = s_{\text{甲}} - s_{\text{乙}} = (v_{\text{甲}} - v_{\text{乙}})t = \Delta s_{\text{初始间距}}\]</div>
管理类联考::第二章::船在水中航行	<b>【公式】流水行船</b>	<div class="latex-box box-green"><ul><li>\(v_{\text{顺}} = v_{\text{船}} + v_{\text{水}}\)</li><li>\(v_{\text{逆}} = v_{\text{船}} - v_{\text{水}}\)</li><li>\(v_{\text{船}} = \frac{v_{\text{顺}} + v_{\text{逆}}}{2}\)</li></ul></div>
管理类联考::第二章::工程问题基本关系	<b>【公式】工程问题</b>	<div class="latex-box box-green"><ul><li>\(\text{工作量} = \text{效率} \times \text{时间}\)</li><li>通常设总工作量为 1。</li><li>\(\text{效率} = \frac{1}{\text{单独完成时间}}\)。</li></ul></div>
管理类联考::第二章::合作完成时间	<b>【公式】合作时间</b>	<div class="latex-box box-green">甲单独 \(m\) 天，乙单独 \(n\) 天：<br>\[t_{\text{合作}} = \frac{1}{\frac{1}{m} + \frac{1}{n}} = \frac{mn}{m+n}\]</div>
管理类联考::第二章::交叉法	<b>【方法】十字交叉法</b>	<div class="latex-box box-green">用于解决混合平均问题（如浓度、平均分）：<br>\[\frac{A \text{的数量}}{B \text{的数量}} = \frac{|\text{整体平均} - B\text{平均}|}{|\text{整体平均} - A\text{平均}|}\]</div>
管理类联考::第二章::浓度基本公式	<b>【公式】浓度问题</b>	<div class="latex-box box-green"><ul><li>\(\text{浓度} = \frac{\text{溶质}}{\text{溶液}}\)</li><li>\(\text{溶液} = \text{溶质} + \text{溶剂}\)</li><li>\(\text{溶质} = \text{溶液} \times \text{浓度}\)</li></ul></div>
管理类联考::第二章::浓度不变准则	<b>【准则】浓度不变</b>	<div class="latex-box box-purple">1. 将溶液倒出一部分，剩余溶液<b>浓度不变</b>。<br>2. 溶液分为若干份，每份<b>浓度不变</b>。</div>
管理类联考::第二章::物质守恒准则	<b>【准则】物质守恒</b>	<div class="latex-box box-purple">稀释（加溶剂）或蒸发（去溶剂）过程中，<b>溶质的质量保持不变</b>。</div>
管理类联考::第二章::两个集合公式	<b>【公式】容斥原理（两个集合）</b>	<div class="latex-box box-green">\(|A \cup B| = |A| + |B| - |A \cap B|\)<br>全集 = 参加A + 参加B - 参加两项 + 都没参加。</div>
管理类联考::第二章::三个集合公式（宏观）	<b>【公式】三个集合（宏观公式）</b>	<div class="latex-box box-green">\(|A \cup B \cup C| = \sum |A| - \sum |A \cap B| + |A \cap B \cap C|\)<br>（一重 - 二重 + 三重）</div>
管理类联考::第二章::三个集合公式（按参加数量）	<b>【公式】三个集合（按次数分类）</b>	<div class="latex-box box-green">设 \(x, y, z\) 分别为只参加 1、2、3 项的人数：<br>1. \(|A \cup B \cup C| = x + y + z\)<br>2. \(\sum |A| = x + 2y + 3z\)</div>
管理类联考::第二章::分段计费	<b>【模型】分段计费</b>	<div class="latex-box box-purple">关键步骤：<br>1. 找准分段点（临界值）。<br>2. 分别计算每一段的费用。<br>3. 累加求和。</div>
管理类联考::第三章::整式	<b>【定义】整式</b>	<div class="latex-box box-purple">单项式和多项式的统称。<br>特征：<b>分母中不含字母</b>。</div>
管理类联考::第三章::分式	<b>【定义】分式</b>	<div class="latex-box box-purple">形如 \(\frac{A}{B}\)，其中 \(A, B\) 为整式，且 \(B\) 中<b>含有字母</b>，\(B \neq 0\)。</div>
管理类联考::第三章::最简分式	<b>【定义】最简分式</b>	<div class="latex-box box-purple">分子与分母<b>没有公因式</b>的分式。</div>
管理类联考::第三章::平方差公式	<b>【公式】平方差</b>	<div class="latex-box box-green">\(a^2 - b^2 = (a+b)(a-b)\)</div>
管理类联考::第三章::完全平方公式	<b>【公式】完全平方</b>	<div class="latex-box box-green">\((a \pm b)^2 = a^2 \pm 2ab + b^2\)</div>
管理类联考::第三章::三项平方公式	<b>【公式】三项平方</b>	<div class="latex-box box-green">\((a+b+c)^2 = a^2+b^2+c^2 + 2(ab+bc+ca)\)</div>
管理类联考::第三章::立方和公式	<b>【公式】立方和</b>	<div class="latex-box box-green">\(a^3 + b^3 = (a+b)(a^2 - ab + b^2)\)</div>
管理类联考::第三章::立方差公式	<b>【公式】立方差</b>	<div class="latex-box box-green">\(a^3 - b^3 = (a-b)(a^2 + ab + b^2)\)</div>
管理类联考::第三章::因式定理	<b>【定理】因式定理</b>	<div class="latex-box box-green">多项式 \(f(x)\) 含有因式 \((x-a)\) \(\iff f(a) = 0\)。</div>
管理类联考::第三章::余式定理	<b>【定理】余式定理</b>	<div class="latex-box box-green">多项式 \(f(x)\) 除以 \((x-a)\) 的余式 \(r = f(a)\)。</div>
管理类联考::第三章::集合定义	<b>【定义】集合</b>	<div class="latex-box box-purple">由确定的、互异的、无序的对象组成的整体。</div>
管理类联考::第三章::元素与集合关系	<b>【关系】属于与不属于</b>	<div class="latex-box box-purple"><ul><li>\(a \in A\)：\(a\) 是 \(A\) 的元素。</li><li>\(a \notin A\)：\(a\) 不是 \(A\) 的元素。</li></ul></div>
管理类联考::第三章::集合特性	<b>【特性】集合三特性</b>	<div class="latex-box box-purple">1. 确定性<br>2. 互异性<br>3. 无序性</div>
管理类联考::第三章::集合间基本关系	<b>【关系】集合关系</b>	<div class="latex-box box-purple"><ul><li>\(A \subseteq B\)：子集。</li><li>\(A \subsetneq B\)：真子集。</li><li>\(A = B\)：相等。</li><li>\(\varnothing\)：空集（所有集合的子集）。</li></ul></div>
管理类联考::第三章::集合常用结论	<b>【结论】子集个数</b>	<div class="latex-box box-green">若集合有 \(n\) 个元素：<br><ul><li>子集数：\(2^n\)</li><li>真子集数：\(2^n - 1\)</li><li>非空真子集数：\(2^n - 2\)</li></ul></div>
管理类联考::第三章::一元二次函数标准形式	<b>【形式】一元二次函数</b>	<div class="latex-box box-green">一般式：\(y = ax^2 + bx + c\)<br>顶点式：\(y = a(x-h)^2 + k\)<br>（其中 \(h = -\frac{b}{2a}, k = \frac{4ac-b^2}{4a}\)）</div>
管理类联考::第三章::一元二次函数性质	<b>【性质】二次函数图像</b>	<div class="latex-box box-purple"><ul><li><b>开口</b>：\(a>0\) 向上；\(a<0\) 向下。</li><li><b>对称轴</b>：\(x = -\frac{b}{2a}\)。</li><li><b>最值</b>：在顶点处取得 \(\frac{4ac-b^2}{4a}\)。</li></ul></div>
管理类联考::第三章::指数函数图像性质	<b>【性质】指数函数 \(y=a^x\)</b>	<div class="latex-box box-purple"><ul><li>定义域 \(\mathbb{R}\)，值域 \((0, +\infty)\)。</li><li>过定点 \((0,1)\)。</li><li>\(a>1\) 增函数；\(0<a<1\) 减函数。</li></ul></div>
管理类联考::第三章::指数运算公式	<b>【公式】指数运算</b>	<div class="latex-box box-green"><ul><li>\(a^m \cdot a^n = a^{m+n}\)</li><li>\((a^m)^n = a^{mn}\)</li><li>\((ab)^n = a^n b^n\)</li><li>\(a^{-p} = \frac{1}{a^p}\)</li></ul></div>
管理类联考::第三章::对数函数图像性质	<b>【性质】对数函数 \(y=\log_a x\)</b>	<div class="latex-box box-purple"><ul><li>定义域 \((0, +\infty)\)，值域 \(\mathbb{R}\)。</li><li>过定点 \((1,0)\)。</li><li>\(a>1\) 增函数；\(0<a<1\) 减函数。</li></ul></div>
管理类联考::第三章::对数运算公式	<b>【公式】对数运算</b>	<div class="latex-box box-green"><ul><li>\(\log_a(MN) = \log_a M + \log_a N\)</li><li>\(\log_a \frac{M}{N} = \log_a M - \log_a N\)</li><li>\(\log_a M^n = n \log_a M\)</li><li>换底：\(\log_a b = \frac{\ln b}{\ln a}\)</li></ul></div>
管理类联考::第四章::方程定义	<b>【定义】方程</b>	<div class="latex-box box-purple">含有未知数的等式。<br>解：使方程左右相等的未知数值。</div>
管理类联考::第四章::一元一次方程	<b>【公式】一元一次方程</b>	<div class="latex-box box-green">\(ax = b\) (\(a \neq 0\))<br>解：\(x = \frac{b}{a}\)。</div>
管理类联考::第四章::一元二次方程标准形式	<b>【形式】一元二次方程</b>	<div class="latex-box box-green">\(ax^2 + bx + c = 0\) (\(a \neq 0\))</div>
管理类联考::第四章::判别式	<b>【公式】根的判别式</b>	<div class="latex-box box-green">\(\Delta = b^2 - 4ac\)<br><ul><li>\(\Delta > 0\)：两不等实根。</li><li>\(\Delta = 0\)：两相等实根。</li><li>\(\Delta < 0\)：无实根。</li></ul></div>
管理类联考::第四章::求根公式	<b>【公式】求根公式</b>	<div class="latex-box box-green">\[x = \frac{-b \pm \sqrt{b^2-4ac}}{2a}\]</div>
管理类联考::第四章::韦达定理	<b>【定理】韦达定理</b>	<div class="latex-box box-green">若方程 \(ax^2+bx+c=0\) 有两根 \(x_1, x_2\)（需 \(\Delta \ge 0\)）：<br>\[x_1 + x_2 = -\frac{b}{a}, \quad x_1 x_2 = \frac{c}{a}\]</div>
管理类联考::第四章::韦达定理扩展	<b>【公式】韦达定理常用变形</b>	<div class="latex-box box-green"><ul><li>\(\frac{1}{x_1} + \frac{1}{x_2} = \frac{x_1+x_2}{x_1 x_2}\)</li><li>\(x_1^2 + x_2^2 = (x_1+x_2)^2 - 2x_1 x_2\)</li><li>\(|x_1 - x_2| = \frac{\sqrt{\Delta}}{|a|}\)</li></ul></div>
管理类联考::第四章::两根符号情况	<b>【条件】两根符号判断</b>	<div class="latex-box box-purple">前提：\(\Delta \ge 0\)。<br><ul><li>两正根：\(x_1+x_2 > 0, x_1 x_2 > 0\)</li><li>两负根：\(x_1+x_2 < 0, x_1 x_2 > 0\)</li><li>一正一负：\(x_1 x_2 < 0\) （此时 \(\Delta > 0\) 恒成立）</li></ul></div>
管理类联考::第四章::不等式基本性质	<b>【性质】不等式性质</b>	<div class="latex-box box-purple"><ul><li>\(a>b \implies a+c > b+c\)</li><li>\(a>b, c>0 \implies ac > bc\)</li><li>\(a>b, c<0 \implies ac < bc\) （变号）</li><li>\(a>b>0 \implies \frac{1}{a} < \frac{1}{b}\)</li></ul></div>
管理类联考::第四章::一元二次不等式与二次函数关系	<b>【关系】三个"二次"的关系</b>	<div class="latex-box box-green">\(ax^2+bx+c > 0\) (\(a>0\)) 的解集：<br>1. \(\Delta > 0\)：两根之外 \((-\infty, x_1) \cup (x_2, +\infty)\)。<br>2. \(\Delta < 0\)：全体实数 \(\mathbb{R}\)。</div>
管理类联考::第四章::绝对值不等式定义法	<b>【方法】定义法解不等式</b>	<div class="latex-box box-purple">利用绝对值几何意义（距离）或零点分段法去掉绝对值符号。</div>
管理类联考::第四章::|x|>a与|x|<a	<b>【公式】绝对值基本不等式</b>	<div class="latex-box box-green">设 \(a > 0\)：<br><ul><li>\(|x| < a \iff -a < x < a\)</li><li>\(|x| > a \iff x > a \text{ 或 } x < -a\)</li></ul></div>
管理类联考::第四章::平方法解绝对值不等式	<b>【方法】平方法</b>	<div class="latex-box box-green">解 \(|f(x)| > |g(x)|\) 类型：<br>两边平方 \(\iff f^2(x) > g^2(x)\)<br>\(\iff (f-g)(f+g) > 0\)。</div>
管理类联考::第四章::分段讨论法	<b>【方法】分段讨论法</b>	<div class="latex-box box-purple">对于多个绝对值相加减（如 \(|x-1| + |x-2| < 4\)）：<br>找零点，分区间，去绝对值，求交集，最后取并集。</div>
管理类联考::第四章::几何法解绝对值不等式	<b>【方法】几何法</b>	<div class="latex-box box-purple">利用 \(|x-a|\) 表示 \(x\) 到 \(a\) 的距离。<br>如 \(|x-1| + |x+2|\) 表示 \(x\) 到 \(1\) 和 \(-2\) 的距离之和。</div>
管理类联考::第四章::指数不等式解法	<b>【方法】指数不等式</b>	<div class="latex-box box-green">\(a^{f(x)} > a^{g(x)}\)：<br><ul><li>\(a > 1\)：\(f(x) > g(x)\) （同向）</li><li>\(0 < a < 1\)：\(f(x) < g(x)\) （反向）</li></ul></div>
管理类联考::第四章::对数不等式解法	<b>【方法】对数不等式</b>	<div class="latex-box box-green">\(\log_a f(x) > \log_a g(x)\)：<br>需先保证真数 \(>0\)。<br><ul><li>\(a > 1\)：\(f(x) > g(x) > 0\)</li><li>\(0 < a < 1\)：\(0 < f(x) < g(x)\)</li></ul></div>
管理类联考::第四章::算术平均值	<b>【定义】算术平均值</b>	<div class="latex-box box-purple">\(A_n = \frac{x_1 + x_2 + \dots + x_n}{n}\)</div>
管理类联考::第四章::几何平均值	<b>【定义】几何平均值</b>	<div class="latex-box box-purple">\(G_n = \sqrt[n]{x_1 x_2 \dots x_n}\) （\(x_i > 0\)）</div>
管理类联考::第四章::均值不等式	<b>【定理】均值不等式 (AM-GM)</b>	<div class="latex-box box-green">对于正数 \(x_i\)：<br>\[\frac{\sum x_i}{n} \ge \sqrt[n]{\prod x_i}\]<br>当且仅当 \(x_1 = x_2 = \dots = x_n\) 时取等号。</div>
管理类联考::第四章::常用结论	<b>【公式】均值不等式常见形式</b>	<div class="latex-box box-green"><ul><li>\(a^2+b^2 \ge 2ab\)</li><li>\(a+b \ge 2\sqrt{ab}\) \((a,b>0)\)</li><li>\(x + \frac{1}{x} \ge 2\) \((x>0)\)</li></ul></div>
管理类联考::第四章::均值不等式应用条件	<b>【条件】一正二定三相等</b>	<div class="latex-box box-purple">1. <b>正</b>：各项必须为正数。<br>2. <b>定</b>：积定和最小，和定积最大。<br>3. <b>等</b>：等号成立条件必须能取到。</div>
管理类联考::第五章::数列定义	<b>【定义】数列</b>	<div class="latex-box box-purple">按一定次序排列的一列数 \(\{a_n\}\)。</div>
管理类联考::第五章::通项公式	<b>【定义】通项公式</b>	<div class="latex-box box-purple">\(a_n = f(n)\)，表示第 \(n\) 项与序号 \(n\) 的关系。</div>
管理类联考::第五章::前n项和	<b>【定义】前n项和</b>	<div class="latex-box box-purple">\(S_n = a_1 + a_2 + \dots + a_n\)</div>
管理类联考::第五章::数列分类	<b>【分类】数列分类</b>	<div class="latex-box box-purple"><ul><li>递增/递减/常/摆动数列。</li><li>有穷/无穷数列。</li></ul></div>
管理类联考::第五章::递推公式	<b>【定义】递推公式</b>	<div class="latex-box box-purple">已知首项，且任一项与前一项（或前几项）的关系式。<br>如 \(a_{n+1} = 2a_n + 1\)。</div>
管理类联考::第五章::a_n与S_n关系	<b>【公式】\(a_n\) 与 \(S_n\)</b>	<div class="latex-box box-green">\[a_n = \begin{cases} S_1, & n=1 \\ S_n - S_{n-1}, & n \ge 2 \end{cases}\]</div>
管理类联考::第五章::常见裂项公式	<b>【公式】常见裂项</b>	<div class="latex-box box-green"><ul><li>\(\frac{1}{n(n+1)} = \frac{1}{n} - \frac{1}{n+1}\)</li><li>\(\frac{1}{\sqrt{n}+\sqrt{n+1}} = \sqrt{n+1} - \sqrt{n}\)</li></ul></div>
管理类联考::第五章::等差数列定义	<b>【定义】等差数列</b>	<div class="latex-box box-purple">\(a_{n+1} - a_n = d\) （常数）。</div>
管理类联考::第五章::等差数列通项公式	<b>【公式】等差通项</b>	<div class="latex-box box-green">\(a_n = a_1 + (n-1)d\)</div>
管理类联考::第五章::等差数列前n项和公式	<b>【公式】等差求和</b>	<div class="latex-box box-green">\(S_n = \frac{n(a_1+a_n)}{2} = na_1 + \frac{n(n-1)}{2}d\)</div>
管理类联考::第五章::等差数列等和性	<b>【性质】下标性质</b>	<div class="latex-box box-green">若 \(m+n = p+q\)，则 \(a_m + a_n = a_p + a_q\)。</div>
管理类联考::第五章::等差数列片段和性质	<b>【性质】片段和</b>	<div class="latex-box box-purple">\(S_n, S_{2n}-S_n, S_{3n}-S_{2n}\) 成等差数列，公差 \(n^2d\)。</div>
管理类联考::第五章::等差数列奇偶项和	<b>【公式】奇偶项性质</b>	<div class="latex-box box-green"><ul><li>\(S_{\text{偶}} - S_{\text{奇}} = \frac{n}{2}d\) （项数偶）</li><li>\(S_{\text{奇}} - S_{\text{偶}} = a_{\text{中}}\) （项数奇）</li></ul></div>
管理类联考::第五章::等比数列定义	<b>【定义】等比数列</b>	<div class="latex-box box-purple">\(\frac{a_{n+1}}{a_n} = q\) （常数，\(q \ne 0\)）。</div>
管理类联考::第五章::等比数列通项公式	<b>【公式】等比通项</b>	<div class="latex-box box-green">\(a_n = a_1 q^{n-1}\)</div>
管理类联考::第五章::等比数列前n项和公式	<b>【公式】等比求和</b>	<div class="latex-box box-green">\(q \ne 1\) 时：<br>\[S_n = \frac{a_1(1-q^n)}{1-q}\]</div>
管理类联考::第五章::无穷递缩等比数列和	<b>【公式】无穷递缩和</b>	<div class="latex-box box-green">\(|q| < 1\) 时：<br>\[S = \frac{a_1}{1-q}\]</div>
管理类联考::第五章::等比数列等积性	<b>【性质】下标性质</b>	<div class="latex-box box-green">若 \(m+n = p+q\)，则 \(a_m \cdot a_n = a_p \cdot a_q\)。</div>
管理类联考::第五章::等比数列片段和性质	<b>【性质】片段和</b>	<div class="latex-box box-purple">\(S_n, S_{2n}-S_n, S_{3n}-S_{2n}\) 成等比数列（需 \(q^n \ne -1\)）。</div>
